	lat	lng
Domestic_1	39.904202	116.407394
Domestic_2	22.31391941	114.179189
Domestic_3	55.60498	13.003822
Domestic_4	55.60498	13.003822
Domestic_5	22.27190499	113.5772939
Domestic_6	23.14100635	113.2669022
Domestic_7	24.48043127	118.1023389
Domestic_8	31.49176366	120.3181321
Domestic_9	31.49176366	120.3181321
Domestic_10	31.30422076	120.5934839
Domestic_11	31.30422076	120.5934839
Domestic_12	36.06275414	120.3744442
Domestic_13	41.80445437	123.4367249
Domestic_14	32.05569925	118.7986267
Domestic_15	32.05569925	118.7986267
Domestic_16	32.05569925	118.7986267
Domestic_17	32.05569925	118.7986267
Domestic_18	32.05569925	118.7986267
Domestic_19	32.05569925	118.7986267
Domestic_20	32.05569925	118.7986267
Domestic_21	32.05569925	118.7986267
Domestic_22	-34.59517509	-58.38283141
Domestic_23	-34.59517509	-58.38283141
Domestic_24	-34.59517509	-58.38283141
Domestic_25	-34.59517509	-58.38283141
Domestic_26	-34.59517509	-58.38283141
Domestic_27	-34.59517509	-58.38283141
Domestic_28	-34.59517509	-58.38283141
Domestic_29	-34.59517509	-58.38283141
Domestic_30	45.64835463	14.85494812
Domestic_31	45.64835463	14.85494812
Domestic_32	45.64835463	14.85494812
Domestic_33	1.362051146	103.8655342
Domestic_34	1.362051146	103.8655342
Domestic_35	1.362051146	103.8655342
Domestic_36	1.362051146	103.8655342
Domestic_37	1.362051146	103.8655342
Domestic_38	1.362051146	103.8655342
Domestic_39	35.15915399	126.8305817
Domestic_40	35.15915399	126.8305817
Domestic_41	36.34238923	127.3949782
Domestic_42	36.34238923	127.3949782
Domestic_43	35.68300455	139.774855
Domestic_44	31.26781333	121.484086
Domestic_45	31.26781333	121.484086
Domestic_46	22.31391941	114.179189
Domestic_47	23.45676357	121.2829814
Domestic_48	23.45676357	121.2829814
Domestic_49	22.31391941	114.179189
Domestic_50	34.59683591	119.2359859
Domestic_51	34.59683591	119.2359859
Industrial_1	37.38466847	117.9791834
Industrial_2	37.38466847	117.9791834
Industrial_3	37.38466847	117.9791834
Industrial_4	37.38466847	117.9791834
Industrial_5	37.38466847	117.9791834
Industrial_6	37.38466847	117.9791834
Industrial_7	37.38466847	117.9791834
Industrial_8	37.38466847	117.9791834
Industrial_9	35.41287352	116.5865154
Industrial_10	35.41287352	116.5865154
Industrial_11	35.41287352	116.5865154
Industrial_12	35.41287352	116.5865154
Industrial_13	37.38466847	117.9791834
Industrial_14	37.38466847	117.9791834
Industrial_15	37.38466847	117.9791834
Industrial_16	37.38466847	117.9791834
Industrial_17	36.81489111	118.0525573
Industrial_18	36.81489111	118.0525573
Industrial_19	36.81489111	118.0525573
Industrial_20	36.81489111	118.0525573
Industrial_21	22.258652	71.192383
Industrial_22	22.258652	71.192383
Industrial_23	-34.59517509	-58.38283141
Industrial_24	-34.59517509	-58.38283141
Industrial_25	-34.59517509	-58.38283141
Industrial_26	-34.59517509	-58.38283141
Industrial_27	-34.59517509	-58.38283141
Industrial_28	-34.59517509	-58.38283141
Industrial_29	-34.59517509	-58.38283141
Industrial_30	-34.59517509	-58.38283141
Industrial_31	-34.59517509	-58.38283141
Industrial_32	-34.59517509	-58.38283141
Industrial_33	-34.59517509	-58.38283141
Industrial_34	-34.59517509	-58.38283141
Industrial_35	-31.29275349	-64.14487649
Industrial_36	-31.29275349	-64.14487649
Industrial_37	-31.29275349	-64.14487649
Industrial_38	-31.29275349	-64.14487649
Industrial_39	37.38466847	117.9791834
Industrial_40	37.38466847	117.9791834
Industrial_41	37.38466847	117.9791834
Industrial_42	37.38466847	117.9791834
Industrial_43	37.38466847	117.9791834
Industrial_44	37.38466847	117.9791834
Industrial_45	37.38466847	117.9791834
Industrial_46	37.38466847	117.9791834
Industrial_47	45.8744581	16.06845861
Industrial_48	45.8744581	16.06845861
Industrial_49	45.8744581	16.06845861
Mixed_1	59.40839741	18.18642349
Mixed_2	59.40839741	18.18642349
Mixed_3	59.40839741	18.18642349
Mixed_4	59.40839741	18.18642349
Mixed_5	59.40839741	18.18642349
Mixed_6	59.40839741	18.18642349
Mixed_7	59.40839741	18.18642349
Mixed_8	59.40839741	18.18642349
Mixed_9	57.08771733	9.930837477
Mixed_10	57.08771733	9.930837477
Mixed_11	57.08771733	9.930837477
Mixed_12	57.08771733	9.930837477
Mixed_13	57.08771733	9.930837477
Mixed_14	57.08771733	9.930837477
Mixed_15	57.08771733	9.930837477
Mixed_16	57.08771733	9.930837477
Mixed_17	57.08771733	9.930837477
Mixed_18	57.08771733	9.930837477
Mixed_19	57.08771733	9.930837477
Mixed_20	57.08771733	9.930837477
Mixed_21	57.08771733	9.930837477
Mixed_22	57.08771733	9.930837477
Mixed_23	57.08771733	9.930837477
Mixed_24	57.08771733	9.930837477
Mixed_25	56.21147875	10.24320271
Mixed_26	56.21147875	10.24320271
Mixed_27	56.21147875	10.24320271
Mixed_28	57.48202302	10.05063324
Mixed_29	55.43550531	9.940559052
Mixed_30	55.43550531	9.940559052
Mixed_31	55.43550531	9.940559052
Mixed_32	43.77506869	-87.64120352
Mixed_33	43.77506869	-87.64120352
Mixed_34	43.77506869	-87.64120352
Mixed_35	6.374073928	-75.50273011
Mixed_36	6.374073928	-75.50273011
Mixed_37	6.374073928	-75.50273011
Mixed_38	6.374073928	-75.50273011
Mixed_39	6.374073928	-75.50273011
Mixed_40	6.374073928	-75.50273011
Mixed_41	51.53960151	9.914149481
Mixed_42	45.8744581	16.06845861
Mixed_43	45.8744581	16.06845861
Mixed_44	45.8744581	16.06845861
