Country	Latitude	Longitude	number
Shandong	35.893955	117.924896	8
Fujian	25.92448	118.278992	1
Beijing	39.904202	116.407394	1
Ankleshwar	22.258652	71.192383	2
Gottingen	51.5326	9.92844	1
Hongkong	22.31391941	114.179189	3
Stockholm	59.329323	18.068581	2
Malmo	55.60498	13.003822	1
Guangdong	23.379032	113.763283	2
Jiangsu	33.140171	119.788925	6
Liaoning	41.097481	122.310669	1
Buenos	-34.603683	-58.381557	5
Cordoba	-31.420082	-64.188774	1
Kocevje	45.6392	14.86476	1
Denmark	56.26392	9.501785	5
Wisconsin	43.784439	-88.787865	1
Singapore	1.352083	103.819839	1
Korea	37.814576	127.510757	3
Japan	35.689487	139.691711	1
Zagreb	45.81501	15.981919	2
Shanghai	31.230391	121.473701	1
Colombia	6.34359	-75.56887	1
Taiwan	23.39905059	121.3560462	2
